bytes	human_size	path
27199881715       26GiB ./backend
7966361013     7.5GiB ./.venv_local
2215830228     2.1GiB ./.git
295455718    282MiB ./frontend
163151890    156MiB ./reports
23167703    23MiB ./docs
32944 33KiB ./infrastructure
31774 32KiB ./scripts
29247 29KiB ./SENTINEL_PROJECT_STRUCTURE.md
16030 16KiB ./README.md
2699 2.7KiB ./PROJECT_INFO.txt
2597 2.6KiB ./docker-compose.yml
1946 2.0KiB ./.gitignore
1880 1.9KiB ./monitoring
1599 1.6KiB ./Makefile
1480 1.5KiB ./.env.example
1077 1.1KiB ./LICENSE
1053 1.1KiB ./.github
345 345B ./CHANGELOG.md
239 239B ./.editorconfig
154 154B ./.gitattributes
6 6B ./VERSION
