bytes	human_size	percent_of_total	path
27199881715	26GiB	71.84%	./backend
7966361013	7.5GiB	21.04%	./.venv_local
2215830228	2.1GiB	5.85%	./.git
295455718	282MiB	0.78%	./frontend
163151890	156MiB	0.43%	./reports
23167703	23MiB	0.06%	./docs
32944	33KiB	0.00%	./infrastructure
31774	32KiB	0.00%	./scripts
29247	29KiB	0.00%	./SENTINEL_PROJECT_STRUCTURE.md
16030	16KiB	0.00%	./README.md
2699	2.7KiB	0.00%	./PROJECT_INFO.txt
2597	2.6KiB	0.00%	./docker-compose.yml
1946	2.0KiB	0.00%	./.gitignore
1880	1.9KiB	0.00%	./monitoring
1599	1.6KiB	0.00%	./Makefile
1480	1.5KiB	0.00%	./.env.example
1077	1.1KiB	0.00%	./LICENSE
1053	1.1KiB	0.00%	./.github
345	345B	0.00%	./CHANGELOG.md
239	239B	0.00%	./.editorconfig
154	154B	0.00%	./.gitattributes
6	6B	0.00%	./VERSION
